site_id,P_annual,T_mean,SR,T_season,P_season,T_cold,P_cqtr,Roughness
ct_208_eb_8,3.60455305681205,-0.438406369691818,15971.9314591308,880.070862199678,104.663669348518,-19.5220696792683,0,6.49286061877091
ct_208_eb_9,3.70607658328219,-3.45642264011864,15874.9801724348,890.259741725322,111.806914997992,-22.165856680469,0,6.41110462465486
ct_206_eb_2,7.32623927876582,19.6897726925937,15946.8863636364,441.395822857536,78.7202294089577,7.78181812979958,4.4781424617965,6.59393925400197
ct_206_eb_3,7.11851715906552,17.4807730640273,15737.1752341397,467.046082034628,68.50068712809,5.08253012507795,4.4657999146254,6.44034252110383
ct_206_eb_4,7.00055788286888,15.5675032258494,15579.3821400921,465.231318310246,63.5497036102963,3.2537966537046,4.42801283117222,6.4075195625243
ct_206_eb_5,6.92232610844535,13.5427204591415,15368.4927601486,462.774754936773,61.4184075528848,1.40658012402036,4.38505272279449,6.19935949435048
ct_206_eb_6,6.89718251467119,11.3219331221231,15157.9176782925,461.885202836965,61.895763536034,-0.535904900689168,4.3396526601836,6.14294088766097
ct_206_eb_7,6.90259621010203,8.4683506856362,14964.0489624023,470.952731801047,63.1767061551412,-3.21729166284204,4.30133126198764,6.10630774263197
ct_206_eb_8,6.8774207268476,5.86354160308838,14799.1771240234,496.844601974639,63.8642902374268,-6,4.2510227004494,5.90801515202201
ct_78_eb_5,5.9290801718168,5.05692576417652,15528.9993650154,882.51504288249,98.3436724972119,-14.5793722135604,1.02971437638382,5.29256766897069
ct_78_eb_6,6.05623462763988,2.45046276467531,15470.1074150963,847.192614562888,97.3598937690387,-16.4935791942406,1.57457455727439,5.4483841526217
ct_78_eb_7,6.1697192215986,-1.03766155890227,15322.3207853711,832.217162804367,97.1306242878315,-19.2104598734162,1.90149882363902,6.04415654653368
ct_78_eb_8,6.26257259108428,-4.00616752670472,15065.6364094772,845.594278376578,96.1717037391334,-21.6215146404536,2.21770573390916,6.19078918867504
ct_78_eb_9,6.32001997246784,-5.82830459496071,14805.9569302263,858.164405519455,94.0519043494915,-23.0120689129007,2.65327322681121,5.95430032065623
ct_196_eb_10,5.72165871166797,-0.805403545223695,17076.5650689144,620.442095272568,120.454279112926,-15.5085637543791,2.41117115290874,5.43120772956442
ct_196_eb_11,5.58685074109952,-3.79852258304201,16930.7379518385,632.382630905112,122.654508826267,-18.0482071627025,2.52043912758666,5.90197247083523
ct_196_eb_12,5.5541839679821,-8.61952283690053,16634.0974436114,670.272028641095,118.813345140026,-22.5403225498815,2.835827252729,6.24700705367575
ct_196_eb_13,5.54048749062027,-13.1589285441807,16298.2190569196,724.652106064197,119.044707815988,-26.8771429334368,2.95244022480915,6.7461074642783
ct_196_eb_14,5.54164546059615,-16.3120371500651,16074.7037760417,758.167028939575,121.994411044651,-30.0888888041178,2.94317087103112,6.81951728216412
ct_196_eb_4,7.70994212900192,14.4145834445953,16102.2497558594,448.064200356327,98.3468036651611,3.64999997615814,4.24789393640144,6.38622419526331
ct_196_eb_5,7.47771462497859,12.8315476826259,15983.0857142857,444.984553825268,95.3618898664202,2.01999998369387,4.07303171463428,6.66910227806631
ct_196_eb_6,7.0633640306012,10.3097221851349,16127.9953477648,461.868187352343,78.7031456629435,-1.01527777862632,4.01408525442258,6.67915921037903
ct_196_eb_7,6.72688515636465,7.53000000081164,16444.9602518285,486.815037988781,69.9275659439412,-4.62680850586993,3.88354791453892,6.55907415615557
ct_196_eb_8,6.49069612899134,4.66402748453384,16614.8819439737,521.249165182866,79.201559749446,-8.78438176508839,3.52202613832144,6.43630953013568
ct_196_eb_9,6.01089135131851,1.37243394386776,16943.1583400819,589.284379604256,106.318028234854,-13.2785061038122,2.73125292289996,5.05428432824589
ct_154_eb_10,5.60402928571213,-0.341150555530355,17137.4751463369,697.067091292393,132.094099561493,-16.8029204356106,1.27836414884829,6.24563249118656
ct_154_eb_11,5.51734752380021,-4.14400614447932,16844.9712901298,663.60451279864,131.221460425789,-19.2982240452792,1.52278283548266,6.13488047638779
ct_154_eb_12,5.49643231715601,-7.3012992899905,16660.3423429099,678.789599582513,128.800287964523,-22.0548387137792,1.82169840691246,6.02509495864525
ct_154_eb_13,5.4971682252932,-12.7624998092651,16074,748.641574505796,126.069641113281,-27.7000007629395,2.30258509299405,6.56244409369372
ct_154_eb_8,5.8549002536726,5.66037415728277,17340.5828882334,697.014610207274,133.624901985636,-12.2510204120558,0.866433975699932,6.11439820140123
ct_154_eb_9,5.72078753968798,2.99162054201187,17271.5755328452,711.575959214156,132.726369494148,-14.537269398735,0.986760201941329,6.20549871110924
ct_215_eb_10,5.67113028435036,-1.72020175273354,16797.6725011377,814.051546656506,61.9360652001561,-19.2786450004599,4.55452805257687,4.48155320170773
ct_215_eb_11,5.58345941769076,-5.92624972747193,16516.7604955642,904.831208452164,71.5009535034931,-23.9228472734123,4.45831354259767,5.59336515219922
ct_215_eb_12,5.43041209664024,-10.0388597303033,16239.9577749124,919.603358485886,76.7120153581079,-27.5748796163554,4.26008414007139,5.9753797874604
ct_215_eb_13,5.50940355212907,-13.3614741937005,15982.129176363,910.832381565556,88.7672742942184,-29.9726443826971,4.18849735592827,6.19068033350269
ct_215_eb_14,5.41639884743538,-17.1152782440186,15611.9166666667,880.919680056831,84.5407969156901,-32.7666676839193,4.16059529210194,6.8615110443079
ct_11_eb_2,7.30603834837928,21.278129084101,16267.55494779,402.628474287804,88.3381513454571,9.95058364905272,4.20655166610913,5.67895422862144
ct_11_eb_3,7.15179122539909,19.3362823338185,16091.0498321829,404.33915516227,79.5477329809689,7.99776700468897,4.20873554275379,6.12951122583586
ct_11_eb_4,6.98112213685788,16.7409850577979,15906.5009227773,443.724996785899,72.7728472410579,4.57796958518822,4.16687368374184,5.63334897510435
ct_11_eb_5,6.98741657549443,13.9794956167838,15666.4181308985,447.21814567841,69.8033406154852,1.99874686352199,4.22339750900164,5.9863021005223
ct_11_eb_6,7.01768803592143,11.1265206998282,15407.3532465357,439.518423726071,68.5365839839852,-0.239416059949537,4.26882296923577,6.19929207590407
ct_11_eb_7,7.025339763134,8.56153193387118,15176.8206774779,447.571923724055,67.7275852627224,-2.70808079628029,4.29661362173592,6.34054048534888
ct_11_eb_8,6.94215670569947,7.07916641235352,14907.5,464.202431447279,65.1347732543945,-4.69999980926514,4.29045944114839,6.53233429222235
ct_14_eb_10,6.43063368603682,-3.77261956177605,14833.3095530522,768.473212107675,88.7101294769197,-19.906203430419,3.08005029185834,6.12242821682141
ct_14_eb_11,6.46100579296349,-8.20332855202373,14654.306701886,823.383877534499,86.2816067123131,-24.2600296046626,3.28720408997179,6.09592081888538
ct_14_eb_12,6.48192558629974,-11.207203799941,14557.9332545024,845.821397517644,84.0349473761746,-27.2056224815338,3.40021068114033,6.12383666852247
ct_14_eb_13,6.54245445183163,-16.1002604365349,14314.9635620117,865.308220909136,79.9126949310303,-31.8624995946884,3.66698591265353,6.6734845092263
ct_14_eb_6,6.57392594586095,9.11304113462374,15242.020558543,627.126743515144,91.7554966319691,-7.08701298453591,2.98461527480925,6.65133622416704
ct_14_eb_7,6.48729426013528,7.1318627576777,15189.0995101521,647.406507353436,91.4495218042384,-8.685561504806,2.89664095080547,6.68801076350341
ct_14_eb_8,6.44833253948753,4.10229092204561,15100.1297516195,673.792623317926,89.9701534013307,-11.4396797312536,2.91339566860229,6.68959505002304
ct_14_eb_9,6.41670035400195,0.302128677349401,14984.0096211512,714.592805439232,89.3531267412971,-15.7056176443661,2.9605595681429,6.04373811164269
ct_95_eb_3,7.17287794624935,17.0113282799721,15446.729095459,469.553716346697,62.8465880155563,4.32499998062849,4.67231966417111,6.27323785145634
ct_95_eb_4,7.10079720238536,15.5664934329444,15243.9060833219,473.126991756782,60.6342803988467,3.03413567214356,4.67337697038168,6.45712527426361
ct_95_eb_5,6.95773435839935,13.3643747897099,15058.617014843,483.60107002386,59.3584512437583,0.958091671802487,4.56862961992742,6.42441159363898
ct_95_eb_6,6.85811945982555,10.7681801930248,14870.391245898,496.11261940482,59.5941481578891,-1.57455847112902,4.42802143199604,6.21419486349401
ct_95_eb_7,6.81764002446037,7.62138558632165,14716.8927946618,515.743947230498,61.1725922685173,-4.67977386795396,4.29882873102191,6.20966801273879
ct_95_eb_8,6.80936469314943,3.93265567297464,14556.1937607315,565.268549426735,62.2823675302359,-8.40219781791771,4.23595542628079,6.35711873605508
ct_95_eb_9,6.78090754614896,1.4633680570599,14396.1736653646,601.007271365345,62.9873376687368,-10.877083281676,4.17609106336268,6.37966941590242
ct_62_eb_10,6.0027252872239,-8.76415638030628,15498.2739896201,915.08032798623,99.0239395168561,-26.7909893770521,2.39902185082963,6.03729133043466
ct_62_eb_11,6.06714039516932,-11.5143518801089,15162.5061848958,971.578268638188,93.1118443806966,-29.4000000423855,2.96243003974767,5.84596698944495
ct_62_eb_5,5.97610269624136,5.95952385947818,15702.3016183036,892.087451893616,98.8282361711775,-14.0952380952381,1.6094379124341,5.9385953772776
ct_62_eb_6,5.88441266293303,4.10639652205933,15832.297529718,911.081910431042,100.884846883143,-16.1996919893386,1.78679175969087,3.81251451148091
ct_62_eb_7,5.82184280013087,1.07874169499431,15982.9560830639,901.836074854831,102.219198477723,-18.6022632642324,1.74769114540491,3.1895802665705
ct_62_eb_8,5.90462187409389,-2.30146527513462,15874.9245727432,828.767904964329,102.954359094685,-20.2559597026247,1.69363333558275,5.45046529746314
ct_62_eb_9,5.92535431516215,-5.84482766098633,15740.4351630007,871.528032316967,101.487462558311,-23.911247810985,2.06858748304671,5.8902814230219
